page 4	On the evening of Jan. 18, Mayor Ozaki invited about 100 gentlemen to a dinner at the Imperial Hotel, Tokyo, and announced that the plan for the harbour coustruction of Tokyo has been completed.
page 5	THE NEWFOUNDLAND FISHERIES.
page 5	MODUS VIVENDI WITH AMERICA.
page 5	A Formal Protest.
page 5	EXPLOSION ON TORPEDO BOAT.
page 5	RUGBY FOOTBALL.
page 5	ROYALTY IN PARIS.
page 5	THE UNITED STATES.
page 5	RUSSIA.
page 5	THE CALIFORNIAN SCHOOL QUESTION.
page 5	CHURCH AND STATE IN FRANCE.
page 5	MR. CHAMBERLAIN.
page 5	THE AMEER OF AFGHANISTAN.
page 5	Joins the Freemasons.
page 5	NAVAL APPOINTMENTS.
page 5	THE CHINESE CUSTOMS.
page 5	THE GERMAN ELECTIONS.
page 5	ROCKEFELLER'S MUNIFICENCE.
page 5	A THIRTY-MILLION GIFT.
page 5	EPIDEMIC AT CHUNYOCHENG.
page 5	TWO HUNDRED DEATHS.
page 5	THE BIDDLE CASE.
page 5	ACCUSED FOUND GUILTY.
page 5	KOWLOON-CANTON RAIL-WAY.
page 5	EDICT APPROVES OF AGREEMENT.
page 5	ROBBERS.
page 5	BRITISH AND FOREIGN BIBLE SOCIETY.
page 5	Hongkong Ladies Auxiliary.
