page 2	As the suggestion to utilize the splendid seamen of the Canadian seaboard as a valuable addition of our Naval Reserve first came from Hongkong and is being acted upon, sir Hugh McCallum, Governor of.
page 3	The Chinese Reformer.
page 3	A Stabbing Affray.
page 3	The Loss of the 'White Cloud.'
page 3	Xmas and 	New Year Parcels.
page 3	Contagious Diseases.
page 3	Christmas Cards.
page 3	The Poor Advance into Hatal.
page 3	Fictional China.
page 3	Hongkong Church Missionary Association.
page 3	'The Quivor.
page 3	THE WAR --- RE INFORCEMENTS.
page 3	THE SITUATION IN NORTH NATAL.
page 3	THE BOMBARDMENT OF MAFEKING.
page 3	THE WOUNDED.
page 3	THE ACTION AT ELANDSLAAGTE.
page 3	THE GLENCOE RAILWAY SAFE.
page 3	GERMAN COLON	EL CAUGHT.
page 3	ANOTHER BATTLE GOING ON AT GLENCOE.
page 3	THE BRITISH AT ELANDSLAAGTE.
page 3	A SPECIAL SERVICE SQUADRON.
page 3	THE NEW ZEALAND CONTINGENT.
page 3	REORGANISATION OF FRENCH ARMY.
page 5	THE TRANSVAAL.
