page 2	THE terms of the Treaty of Peace between Japan and China have been published to the world, and we are now able to form some estimate of its effect upon the relations of Foreign Powers.
page 3	RUMOURS OF THE RESIGNATION OF THE PRIME MINISTER.
page 3	OBITUARY.
page 3	HEALTH OF LORD ROSEBERY.
page 3	OPENING OF THE KIEL CANAL.
page 3	THE TROUBLE IN FORMOSA.
page 3	AN IMPERIAL EDICT.
page 3	ALL CHINESE OFFICERS RECALLED.
page 3	THE SITUATION IN FORMOSA.
page 3	PREPARATIONS TO REPEL THE JAPANESE.
page 3	DECLARATION OF RESISTANCE.
