page 2	WE feel certain much sympathy will be felt by the European communities of Hongkong for the people of the United States who will suffer from the terrible disaster on board the battleship Maine in Havana.
page 3	CHINA AND RUSSIA.
page 3	REPORTED ACCEPTANCE OF THE RUSSIAN LOAN.
page 3	FRANCE AND GERMANY CO-OPERATING WITH RUSSIA.
page 3	FRENCH PREPARATIONS IN TONKIN.
page 3	PORTENTOUS MOBILISATION OF TROOPS.
page 3	TERRIBLE EXPLOSION ON A UNITED STATES WAR-SHIP.
page 3	THE 'VICTORIOUS' ON SHORE.
page 3	GREAT BRITAIN AND FRANCE IN AFICA.
page 3	THE LOSS OF THE U. S. BATTLE-SHIP MAINE.
page 3	IN CRIMINAL SESSIONS.
page 3	THE INDIAN DRUGGING CASE.
page 3	RETURNING FROM BANISHMENT.
page 3	AN ABSENT JURYMAN.
page 3	A JURYMAN'S EXCUSE.
page 3	LARCENY BY A TRICK.
page 3	THE RELICS OF TOYOTOMI HIDEYOSHI.
page 3	INTERESTING STORY ABOUR THE PHILIPPINES.
