page 2	THE rule compelling shipowners to pay for Bills of Health for vessels leaving Hongkong has for many years been looked upon as a hardship, but it has been so patiently borne by choe concerned that the Governor writes this.
page 3	THE WAR IN THE SOUDAN.
page 3	NEGOTIATIONS WITH RUSSIA CONTINUE.
page 3	THE ALLEGED EXTORTION CASE.
page 3	PIRATES COMMITTED FOR TRIAL.
page 3	THE KING OF DENMARK AS ARBITRATOR.
page 3	ENGLISH AS AN AUXILIARY LANGUAGE FOR JAPAN.
page 3	A RUSSO-BRITISH WAR.
page 3	ITS DISASTROUS EFFECTS ON INTERNATIONAL PROSPERITY.
page 3	THE REBELLION IN CANADA.
page 4	THE BILL FOR THE INCORPORATION OF THE VIGAR APOSTOLIC.
page 4	WOMEN'S FOREIGN MISSIONS.
page 4	DESERTIONS FROM THE SHANGHAI POLICE FORCE.
page 4	AN ACT TO RESTRICT CHINESE IMMIGRATION INTO CANADA.
page 4	A SKILFUL SURGICAL OPERATION.
page 4	HARBOUR DEPARTMENT.
page 4	SIGNAL STATION, VICTORIA PEAK, HONGKONG.
