page 2	THE opium trade of India and the tea trade of China have suffered a serious decline during the last few years, and the cause of decline is almost the same in both cases, India formerly had the monepoly of opium cultivation.
page 3	RUMORS THAT QUEEN VICTORIA WILL RETIRE.
page 3	STILL ANOTHER SCANDAL.
page 3	AN ECCENTRIC VISCOUNT PLAYS AND ORGAN AND HIS WIFE COLLECTS COPPERS.
page 3	THE MEAT FAMINE IN BERLIN.
page 3	A BEER RIOT FEARED.
page 3	A PAMPHLET IN PRAISE OF RMPEROR WILLIAN.
page 3	BISMARCK'S BIRTHDAY GIFTS.
page 3	THE UNHAPPY CZAR.
page 3	TURKEY GIVEN NOTICE.
page 3	PREPARING TO WORK IN BARM NY.
page 3	SETTLED BY DAVITT.
page 3	FOUNDERED AN SEA.
page 3	GERMAN SPIES IN FRANCE.
page 3	A NEW APIDEMIC.
page 3	BUFFALO BILL'SHOW.
page 3	ELECTIONS IN PORTUGAL.
page 3	THE PRINCE OF WALES RECEIVED WARMLY IN PARIS.
page 3	BISMARCK HONORED ON HIS BIRTHDAY.
page 3	COUNT HERBERT BISMARCK.
page 3	A MONSTER WAR BALLOON.
page 3	SUPPRESSION OF DUELING.
page 3	THE GREMANS TO BE COUNTED.
page 3	FORGED BONDS.
page 3	THEO'SHEA CASE SETTLED.
page 3	AN OLD IRISH PROPHECY.
page 3	THE DUKE OF GRLEANS.
page 3	VERDICT AGAINST THE COPPER TRUST.
page 3	HE MURDERED RIGHT WOMEN.
page 3	A SERIOUS QUARREL IN GERMANY.
