page 6	"PROBLEMS OF THE PACIFIC."
page 7	THE PREMIER IN DUBLIN.
page 7	OVATIONS EVERVWHERE.
page 7	MR. ASQUITH AT LIVERPOOL.
page 7	IN LONDON.
page 7	TURKISH POLITICS.
page 7	GRAVE DEYELOPMENTS EXPECTED.
page 7	THE DOCTORS AND THE INSURANCE ACT.
page 7	BRITISH MEDICAL ASSOCIATION'S ACTION.
page 7	THE CROWN PRINCE OF GERMANY.
page 7	SERIOUS ILLNESS OF EMPEROR OF JAPAN.
page 7	HIS MAJESTY UNCONSCIOUS AND DELIRIOUS.
page 7	A CHANGE FOR THE WORSE.
page 7	IN A COMATOSE STATE.
page 7	CONDITION UNIMPROVED.
page 7	A TERRIBLE TRAGEDY.
page 7	DISMISSED GAMFKEEPER SHOOTS EMPLOYER.
page 7	THE KING'S PRIZE WINNER.
page 7	A LONDONER WINS.
