page 2	BISHOP Raimondi has compiled his report on the Roman Catholic educational and training establishments in the Colony with so much looseness and disregard for statistical requirements that it is impossile to state how many of the say 850 pupils and children referred to in the course of the report are capable of receiving instruction.
page 4	Police Intelligence.
page 4	A "CIVILIZED" CHINAMAN.
page 4	A DOUBTFUL CASE.
page 4	VICARIOUS RESPONSIBILITY.
page 4	SUSPICIOUS.
page 4	QUARRELING OVER A FARE.
page 4	UNLAWFUL POSSESSION.
page 4	SUPREME COURT.
page 4	IN BANKRUPTCY.
page 4	China.
page 4	CHUNGKING.
page 4	PROCLAMATION.
page 4	WUCHAHG.
page 4	TIENTSIN.
page 4	The Straits.
page 4	A RIVER TRIP FROM SWATOW TO CANTON.
