page 2	IT is pleasant to find that the view of H.E. the Governor agrees with that of the community with regard to the inadequacy of the storm warnings given in this Colony.
page 3	THE SANITARY EOARD.
page 3	MESSRS DANBY AND LEIGH census THE SANITARY SURVEYOR.
page 3	THE DRAINAGE OF THE PEAK.
page 3	HISTORICAL.
page 3	DESCRIPTION OF SEVERS.
page 3	THE ARREST OF A LADY PASSEN GER ON THE 'CHINGTU.'
page 3	DISCHARGE AND RE-ARREST OF THE ACCUSED.
page 3	HONGKONG THROUGH OEYLON SPECTACLES.
page 3	ADDITIONAL NEWS BY THE AMERICAN MAIL.
page 3	NOT JACK THE RIPPER.
page 3	A ROMAN SENSATION.
page 3	NOT WANTED IN MEXICO.
page 3	THE LIBERAL LEADER.
page 3	SEXTON'S OPINION OF THE ENGLISH POSTAL DEPARTMENT.
page 3	THE CONGO FREE STATE.
page 3	THE BRITISH PREMIER.
page 3	ARISTCCRATS DISPLEASED.
page 3	A SUGAR SWINDLS.
page 3	MARRIAGE OF THE PRINCESS LOUISE TO THE EARL OF FIFE.
page 3	ROYAL MARRIAGES.
page 3	THE PANAMA CANAL.
page 3	NOT A HOME RULER.
page 3	MORLEY'S AMENDMENT TO THE ROVAL GRANTS.
