page 2	NOW that Macro is declared free from the epidemic of bubonic plague, a few remarks upon the development of the disease there may not be without interest. Our readers may recollect that.
page 3	SINGAPORE AND CHINESE IMMIGRATION.
page 3	REMOVAL OF RESTRICTIONS.
page 3	GREAT BRITAIN AND THE CHINA TRADE.
page 3	ITALY AND ABYSSINIA.
page 3	OFFICIAL APPOINTMENTS.
page 3	THE OUTRAGE AT SOFIA.
page 3	FRENCH MINISTER AT BANGKOK.
page 3	FRANCE AND SIAM.
page 3	THE WAR IN MADAGASCAR.
page 3	THE BUFFER STATE.
page 3	CHOLERA.
page 3	CHINESE CONCESSIONS TO FRANCE.
page 3	ITALY AND ABYSSINIA.
page 3	RAILWAY ACCIDENT.
page 3	THE FRANCO-CHINESE CONVENTION.
page 3	THE ECLIPSE STAKES.
page 3	A NEW KNIGHT.
page 3	THREATENED DROUGHT IN THE PUNJAB.
page 3	NASRULLA KHAN.
page 3	THE CHITRAL HONOURS.
page 3	ALLEGED MURDER AND INSURANCE FRAUD.
