page 4	WHEN a man calls a spade a spade people say he is ill-natured The world hankers after circumlocution. Therefore, when the hon. T. H. Whitehead accused the Government of attempting to smuggle certain expenditure.
page 5	The Hongkong Budget.
page 5	Anti-Foreign Distrgances in Shantung.
page 5	Armed Robbery.
page 5	Mr Clarence Greathouse.
page 5	Japanese Insurance Business.
page 5	The Ambition of the Boers.
page 5	THE TRANSVAAL CRISIS.
page 5	PIRACY ON THE WEST RIVER.
page 5	ROBBERS AND REBELS IN KWANGSI.
page 5	DEATH OF BISHOP CHOUZY.
