page 2	IT Would appear that the Secretary of State for the Colonies has approved of the Praya Reclamation scheme being carried out by the marine lot-holders, with certain modifications Lord Knutsford requires the.
page 3	TELEGRAMS.
page 3	THE LOSS OF THE GLENCOE.
page 3	GERMANY AND BIMETALISM.
page 3	THE CRISIS IN FRANCE.
page 3	THE CHINA SUGAR REFINING COMPANY.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	THE THEFT OF STRAINRS FROM TYTAM WATERWORKS-A STRANGE VERDICT.
page 3	ROBBERY FROM THE PERSON.
page 3	EARRING SNATCHING.
page 3	ASSAULT AND ATTEMPTED ROBBERY.
page 3	HONGKONG RIFLE ASSOCIATION.
page 3	WEEKLY SPOON COMPETITION.
page 3	LATE NEWS.
page 3	MISCELLANEOUS.
page 3	THE CHINESE QUESTION.
page 3	THE INCREASE IN THE FRENCH ARMY.
page 3	THE COLONIAL AND IMPERIAL INSTITUTES.
page 3	THE GORDON STATUE FOR MELEOURNE.
page 3	FEDERATION OF THE BALEAN STAES AN GREECE.
page 3	AUSTRAL AN FINANCIAL INSTITUTIONS.
page 3	DEATE OF A CELESRATED ARTIST.
page 3	MR. CHAMBERLAIN AT BIRMINGHAM.
page 3	FRENCH AGGRESSION IN THE COMORO ISLANDS.
page 3	SIR HERCULES ROBINSON.
page 3	THE AMERICAN TARIFF BILL.
page 3	THE PARNELL-TIMES COMMISSION.
page 3	THE BANK RATE OF DISCOUNT.
page 3	THE PARIS ELECTION.
page 3	FRENCH INTERESTS IN THE EASTERN PACIFIC.
page 3	THE SAMOAN DIFFICULTY.
page 3	SAMOAN AFFAIRS.
page 3	POLITICAL CRISIS IN FRANCE.
page 3	MISCELLANEOUS.
