page 2	As we briefly mentioned in last night's issue, the funaral of Mr. Lindsay S.L. Crawford took place yesterday evening. It was attended by the Hongkong Volanteers, and thers was a very large musterof.
page 3	THE ATTACK ON THE EMIR ARHMUD'S.
page 3	KILLED.
page 3	WOUNDED.
page 3	THE DERVISH LOSSES.
page 3	MISOHILF BY SOLDIERS.
page 3	PLAGUE AND CREMATION IN GOA.
page 3	AFFAIRS IN THE FAR EAST.
page 3	THE ACQUISITION OF WEI-HAI-WEL.
page 3	SERIOUS ALLEGATIONS AGAINST LI-HUNG CHANG.
page 3	BRITAIN'S SHARE OF SPOILS.
page 3	DARING FRENCH ENTERPRISE.
page 3	MORE RUSSIAN ASSURANCES.
page 3	GERMAN AND RUSSIAN FEELING.
page 3	RUSSIA AND THE FRENCH CLAIMS IN SOUTHERN CHINA.
page 3	A CHEOK TO GERMANY.
page 3	FRENCH DEMANDS GRANTED.
page 3	THE FRENCH PRESS AND THE FAR EAST.
