page 2	THE letter which has been addressed to the Secretary of the Hongkong General Chamber of Commerce by Admiral Sir Newell Salmon, upon the survey of the Coast of China, deserves passing notice.
page 3	CINERATOR.
page 3	TELEGRAMS.
page 3	BLAINE KICKS.
page 3	GENERAL BOULANGER.
page 3	INCREASE TO THE FRENCH NAVY.
page 3	CRETE.
page 3	THE SOUDAN.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	LABCENY.
page 3	HOBBERIES FROM THE PERSON.
page 3	DISCHARGRD BY PROCLAMATION.
page 3	THE SURVEY OF THE COAST OF CHINA.
page 3	THE PROSPECTS OF PEACE.
page 3	Late Telegrams.
page 3	NEW SCHEME IN CONNECTION WTTH THE IMPERIAL INSTITUTE.
page 3	ARRIVAL OF THE SHAH IN ENGLAND.
page 3	DECISION OF GOVERNMENT ON DELAGOA QUESTION.
page 3	ROBBERIES FROM BOMBAY ARSENAL.
page 3	AMERICAN ITEMS SHORT AND CRISP.
