page 2	We fear there are but few of our readers who are to be congratulated on the good fortune or success in business which bas attended them throughout the year that is now closing.
page 3	ACCIDENT TO PRINCE CHRISTIAN OF SOHLESWIG-HOLSTEIN.
page 3	OBITUARY.
page 3	THE DISTRESS IN RUSSIA.
page 3	A RUSSIAN PARLIAMENT.
page 3	IRISH FACTION FIGHTS.
page 3	A CHINAMAN'S REVENGE.
page 3	THE GHURKHAS IN KASHMIR.
page 3	THE ATTACK ON A MOLE-DRIVER ON THE MANIPUR ROAD.
page 3	A RUSSIAN TRAVELLER IN INDIA.
page 3	THE U.S. SENATE.
page 3	EPISCOPAL CHARGE IN MADRAS.
page 3	AN EXAMINATION SCANDAL.
page 3	LORD WENLOCK.
page 3	THE AEFONAUT IN BOMBAY-LIEUTENANT MANSFIELD KILLED.
page 3	EXPECTED SCARCITY IN HYDERABAD.
page 3	HEAVY FIGHTING AT CHALT.
page 3	THE BLACK MOUNTAIN.
page 3	THE MANIPUR PRINCES.
page 3	DEATH OF SIR FREDERICK DICKSON.
page 3	MISCELLANROUS.
