page 2	OUR Readers Must Have Been Extremely Interested With The Account We Published Recently Of The Experiences Of Dr Wykoham Myers, In The Field Of Medical Teaching Among The Chinese.
page 3	THE PEAK CHURCH.
page 3	THE CASE OF THE FORGED LETTERS.
page 3	THE EVIDENCE OF THE COLONIAL SECRETARY AND THE SURVEYOR GENERAL.
page 3	IS HONGKONG STILL A FREE PORT?
page 3	AMOY.
page 3	DIRE DISTRESS IN NEWCHWANG.
page 3	GOVERNMENT RELIEF STOPPED-SHAMEFUL CONDUCT OF OFFICIALS.
page 3	THE NORTH CHINA FAMINE RELIEF FUND.
page 3	FOOCHOW.
page 3	NEWS BY THE AMERICAN MAIL.
page 3	IMPENDING WAR.
page 3	SHOES MADE IN CHINA.
page 3	A DISASTROUS LAND SLIDE.
page 3	PIGGOTT'S SISTERS.
page 3	A ROMANCE OF TAHITI.
page 3	A THUNDER BTORM-CONSIDEEASLE DAMAGE DONE IN FAKIS AND VICINITY.
page 3	FIVE BRIGANDS HANGED.
page 3	STRIKES IN GERMANY.
page 3	BEACONSFIELD'S NEPHEW.
