page 2	YESTERDAY afternoon, a mild state of panic prevailed in commereial cireles. Private telegrams from the North had prepared the public mind for a suddon chango in the political situation, and when it became.
page 3	Mails.
page 3	CHURCH SERVIUES.
page 3	WHITE AND SOUND TEETH.
page 3	CLARKE'S B 41 PILLS.
page 3	REUTER'S TELEGRAMS.
page 3	THE CHINESE LOAN LONDON ISSUE.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	THE P. AND O. STEAMER CHINA ASHORE.
page 3	VICTORIA ENGLISH SCHOOLS.
page 3	ANNUAL PRESENTATION OF PRIZES.
