page 2	ACCORDING to a notification in the Gazetta the Queen's exequatur, empowering Mr. Oliver H. Simons to sot as United States Consul at Hongkong, received.
page 3	A TYPHOON.
page 3	THE KOWLOON LAND AND BUILDING CO., LIMITED.
page 3	SATURDAY'S FIRES.
page 3	ABOLISH THE OLOOK TOWER.
page 3	ANTI-OBSTRUCTIONIST.
page 3	NAGASAKI.
page 3	TYPHOON AT YOKOHAMA.
page 3	TO KOBE BY RAIL.
page 3	CHINESE CHARACTERISTICS.
page 3	HOW THE CHINESE ENCROACH.
page 3	LATE TELEGRAMS.
page 3	THE PROPOSED IRISH UNIVERSITY.
page 3	THE SHAH IN AUSTRIA.
page 3	THE SULTAN AND THE PRESS.
page 3	THE VICEROYALTY OF IRELAND.
page 3	THE SIAMESE FRONTIER.
page 3	NATIVE TROOPS FOR FRONTIERS DEFENSES.
page 3	RUSSIA AND CASHMERE.
page 3	LORD WOLSELEY.
page 3	MR. HERBERT GLADSTONE'S LIBEL ACTION.
page 3	MORE SEALING-VESSELS SEIZED.
page 3	NIHILIST PRESSES SEIZED.
page 3	VICTORY OF THE DERVISHES IN EGYPT.
page 3	THE NEW GRAYING DOCK FOR BOMBAY.
page 3	THE GOVERNMENT AND CASHMERE.
page 3	RETIREMENT OF ARMY OFFICERS.
page 3	THE VACANCY AT DUNDEE.
page 3	THE COTTON MILLS IN LANCASHIRE.
page 3	TERRIBLE DYNAMITE DISASTER-ANTWERP IN FLAMES.
page 3	THE NUMBER OF GENERAL OFFICERS.
page 3	MRS. MAYBRICK'S CHILDREN.
page 3	THREATENED STRIKE OF STERL WORKERS.
page 3	CAPTAIN WISSMANN'S EXPEDITION.
page 3	COLLIERY DISASTER IN SCOTLAND.
page 3	KING MENELEK.
page 3	THE CRETAN SITUATION.
page 3	ILLNESS OF BISMARCK.
page 3	THE SHAH'S TRAIN DERIDED-THE KING OF KINGS IN THE MUD.
page 3	MR. GLADSTONE'S VISIT TO PARIS.
page 3	INCIDENTS IN THE GREAT STRIKS.
