page 2	THE Full Court, in Original Jurisdiction, was occupied yesterday afternoon and today in considering the issues of law in the suit, Thomas Howard and another v. His Excellency Sir William Robinson.
page 3	VERDICT ON THE MURDERER OF MR. TERRISS.
page 3	BYE-ELECTIONS.
page 3	RE-INFORCEMENTS FOR EGYPT.
page 3	BOER INTRIGUES AGAINST GREAT BRITAIN.
page 3	SHIPWRECK AT SHANGHAI.
page 3	THE SINKING OF THE 'KIANGKING.'
page 3	THE POWERS AND CHINA.
page 3	STRIKE OF SEAGOING ENGINEERS.
page 3	THE ENGINEERS' CONFERENCE.
page 3	THE BRITISH IN EGYPT.
page 3	WRECH OF THE STEAMER 'CLEVELAND.'
page 3	REVOLUTIONARY MOVEMENT IN SPAIN.
