page 2	THE most important point of general interest disenssed by Sir Claude Macdonald in his interviews with the Chambers of Commerce at Hongkong and Shanghai was that of Transit Passes in China.
page 3	THE TRANSVAAL.
page 3	RE-INFORCEMENT FOR THE CAPE.
page 3	EGYPT.
page 3	RUSSIAN AND COREA.
page 3	QUARANTINE IN JAPAN.
page 3	NOT PLAGUE!
page 3	NEW TAX ON SUGAR.
page 3	THE LONDON MONEY MARKET.
page 3	EARL SPENCER.
page 3	PRESENTATION TO MR R. COOKE.
page 3	THE NEW SCOTTISH ORIENTAL LINERS.
page 3	RECEPTION AT BANGKOK.
page 3	TRADE WITH JAPAN.
page 5	A REFORMER DEGRADED.
page 5	THE ANGLO-GERMAN LOAN.
page 5	SIR R. HART AND MR VON HRANDT.
page 5	MR AND MRS DETRING.
page 5	SIR ROBERT HART.
page 5	WEN TUNGHO.
page 5	CENT. PER CENT.
page 5	THE ENGLISH LANGUAGE AT PEKING.
page 5	WHAT THE QUESTION MEANS.
page 5	HOW DID THE THIEF GET IN?
