page 2	THE Turks have evidenty suffered a very severe defeat in Asia.  The capture of thirty-two guns and seven pashas can only mean the entire breaking up and disorganisation of Muktar Pasha's army.
page 3	LOCAL AND GENCERAL.
page 3	Police Intelligence.
page 3	A PETTY THEFT.
page 3	DESTROYING TREES.
page 3	SLEIGHT-OF-HAND.
page 3	VIOLENTLY DRUNK.
page 3	LARCENY.
page 3	IN CRIMINAL SESSIONS.
page 3	BURGLARY AND RECSIVING.
page 3	LARCENY, &C.
page 3	ANOTHER FOWL CASE.
page 3	HOUSEBREAKING.
page 3	IN SUMMARY JURISDICTION.
page 3	MARINE COURT OF INQUIRY.
page 3	"ARGUMENTUM MISERICORDIAM."
