page 2	REFERENCE was made in last night's issue to the necessity for the registration of domestic servants and private chair and Richs coolies in Hongkong. This is a matter which has frequently been referred to by.
page 3	RUSSIAN TROOPS ON THE CHINESE FRONTIER.
page 3	THE BRIBERY SCANDAL.
page 3	CONFESSION BY EX-INSPECTOR WITCHELL.
page 3	THE DREYFUS AFFAIR.
page 3	GREAT BRITAIN AND RUSSIA.
page 3	THE REPORTED ANGLO-JAPANESE ALIANCE.
page 3	UNITED STATES FINANCE.
page 3	CRIMINAL NEWS.
page 3	SPORT AT THE STRAITS.
page 3	IMPROVEMENTS AT MACAO.
page 3	MISSIONARY WORK IN CENTRAL CHINA.
page 3	DR WOLFENDALE AND HIS WORK.
page 3	THE GERMAN INCIDENT AT KIACCKOU.
page 3	ATTACK UPON CHRISTIANITY.
