page 2	FIRE broke out about six o'clock this morning in the house No. 25 Bonham Strand. It originated among a mass of strff, consisting of firewood, rice, kerosene oil and lumber.
page 3	THE TENNIS SINGLES.
page 3	CRICKET.
page 3	STRAITS TE M Z. UXITED SERVICES.
page 3	THE FIRE IN LYNDHURST TER RACF.
page 3	INQUIRY AT THE MAGISTRACY.
page 3	MINUTES OF THE FIFTY-FIRST ANNUAL MEETING OF THE MEDICAL MISSION RY SOCIETY IN CHINA.
page 3	THE KOWLOON LAND & BUILDING COMPANY LIMITED.
page 3	ARRIVAL OF THE ORONTES AT COLOMBO.
page 3	NEWS BY THE GERMAN MAIL.
page 3	THE DISPUTE BE3TWEEN ENGLAND AND PORTUGAL.
page 3	SIR J. POOE HENNESSY A CANDIDATE FOR PARLIAMENT.
page 3	OBITUARY.
page 3	THE YOUNG KING GE SPAIN.
page 3	THE COMMAND OF THE ARMY OF THE CAUSASUS.
page 3	GENERAL ALICILANGFF IN TROUBLE.
page 3	RUSSIAN REPORT OFFICIALLY DENIED.
page 3	LORD HARTINGTON DOWN WITH INFLUENZA.
page 3	THE RUSSIAN BUPGET.
page 3	THE INFLUENZA EPIDEMIC ABATING.
page 3	CAPIURE OF THREE OFFICERS OF WISSMANN'S PAPTY.
page 3	STANLEY'S RETURN-FORTHCOMING BANQUET AND PRESENTATION BY AMERICANS IN LONDON.
page 3	A RUMOR CONTBADICTED.
page 3	RUSSIA AND BOKHARA.
