page 2	OUR contemporary at Saigon observes that the Assembly at Paris is still devoting attention to Cochin-China, and, in spite of the efforts of the minister who urged that the Colony should not be saddled with fesh dues.
page 3	TOUTERS.
page 3	STOLEN KISSES.
page 3	SUSPICIOUS.
page 3	ROBBERY.
page 3	JOTTINGS.
page 3	THE WRITER OF THE JOTTINGS.
page 3	A PROBLEM.
page 3	SINGULAR CHARGE AGAINST A OBIT-COOLIE.
page 3	THE SHANGHAI COURIER AND CHINA GAETTE.
page 3	SAN FRANCISCO.
page 3	A MODEL PHILANTHROPIST.
