page 2	THE amendment by Reuters's Agent of the telegram we published yesterday tends rather to muddle matters. We do not know what are his reasons for introducing the amendment, but if there is any question as to its correctness.
page 3	FIGHTING.
page 3	LARCENY.
page 3	A CURIOUS CHARGE.
page 3	OBSTRUCTION.
page 3	BREACH OF THE REGISTRATION ORDINANCE.
page 3	NEGLECT OF DUTY.
page 3	BURGLARY.
page 3	BREACH OF CONDITIONAL PARDON.
page 3	JOHN BRIGHT.
page 3	THE TURKISH NAVY.
page 3	CAVALRY DEVELOPMENT.
page 3	THE SILVER FOR SALE IN GERMANY.
page 3	ALL men are not homeless, but some are home less than others.
