page 2	Mr Hall Caine tells us that he earned only 300 pounds during the first year of his novel-writing.
page 5	THE CANTON HANKOW LOAN.
page 5	STATEMENT FROM THE GERMAN SYNDICATE.
page 5	CASTRO THE EXILE.
page 5	A SHORTAGE REPORTED.
page 5	AMERICAN MINISTER TO CHINA.
page 5	MR ROOSEVELT AT PORT.
page 6	AMERICAN TARIFF REVISION.
page 6	NO DUTY ON TEA OR COFFER.
page 6	THE PANAMA CANAL.
page 6	EXCAVATION PROBABLY COMPLETE IN THREE YEARS.
page 6	VICEROY CHANG DENOUNCED.
page 6	CHINESE OFFICIAL PAYMENTS.
page 6	CORRUPT OFFICIAL AND OPIUM SMOKER.
page 6	OPIUM REVENUE FOR NAVAL PURPOSES.
page 6	FRENCH NAVIGATION RIGHTS REFUSED.
page 6	CHRISTIAN MISSIONS IN CHINA.
page 6	SUGGESTED JAPANESE ENGINEERS FOR CHINESE RAILWAYS.
page 6	NAVAL SUPPLY FACTORY FOR TIENTSIN.
page 6	HEALTH OF CHINESE OFFICIALS.
page 7	THE INDIAN BUDGET.
page 7	A Deficit of Three-quarters of a Million.
