page 4	AN eye-witness who can be relied upon as a trained and careful observer, informs us that the dykes and embankments of the Kwan-tung rice delta, destroyed by the appalling floods of last June.
page 5	EMPEROR FRANCIS JOSEPH.
page 5	QUITE RECOVERED.
page 5	A LIGHTHOUSE FOR CAPE GUARDAFUI.
page 5	FRESH PROPOSALS BY ITALY.
page 5	CHINA AND CONSTITUTIONAL GOVERNMENT.
page 5	THE AMERICAN FLEET AT MELBOURNE.
page 5	THE TURKISH NAVY.
page 5	GERMAN TORPEDO-BOAT IN THE TYNE.
page 5	INDO-CHINA.
page 5	MOROCCO.
page 5	CHINA'S REVENUE.
page 5	GENERAL DECREASE.
page 5	PROPOSED REDUCTION OF EXPORT DUTIES.
page 5	CANTON HANKOW RAILWAY.
page 5	CHANG CHIH-TUNG A DIRECTOR.
page 5	THE INDEPENDENCE OF CUBA.
page 5	AMERICAN POLITICS.
page 5	RUSSO-JAPANESE FEELING.
page 5	MANCHURIAN PROSPECTS.
page 5	JAPAN AND CHINA.
page 7	NEW ZEALAND AND THE AMERICAN FLEET.
page 7	Sir Joseph Ward's Remarkable Speech.
