page 2	THE reports of Her Majesty's Consuls on the trade at the various places in the Far East in which they are located come to hand here so very slowly, through their being forwarded to and published in London, that they are generally about twelve months ld before they can be read by those most interested in them.
page 3	LATE TELEGRAMS.
page 3	THE EASTERN QUESTION.
page 3	THE FAMINE IN INDIA.
page 3	MISCELLANEOUS.
page 3	CUTTING AND WOUNDING.
page 3	DISTURBANCE.
page 3	RENDITION.
page 3	LARCENY.
page 3	CHILD STEALING.
page 3	"I CONCUR."
page 3	Australian Items.
page 3	A QUESTION OF TOTAL LOSS AND PERIL OF THE SEA.
page 3	THE USE OF GUN-COTTON AT SEA.
page 3	THE POPULATION OF THE EARTH.
page 3	SHELLEY AS A BOY.
