page 2	'Typical Women of China' is the title of a little book by the late miss A. C. Sanford, recently published by Measrs Kelly and Walsh. Of the Dsture and scope of the work a sufficiently good idea may be. 
page 3	THE ROSSENDALE ELECTION.
page 3	MOSQUITOES AND LEPROSY
page 3	A CLERICAL HYPOCRITE.
page 3	HOME RULERS' TROUBLES.
page 3	DUBLIN CORPORATION AND THE ROYAL WEDDING.
page 3	A TIMID DYNAMITER.
page 3	BRITISH OCCUPATION ADVOCATED. 
page 3	CONTINENTIAL INFLUENCES IN EGYPT.
page 3	INCENDIARY CIRCULARS IN NEW YORK.
page 3	THE FRESS ON THE EGYPTIAN SITUATION.
page 3	ANTI-CHINESE AGITATION.
page 3	THE INFLUENZA IN LONDON.
page 3	THE MOROCCO DISPUTE.
