page 2	IN connection with the recent action of the Legislative Council in voting Exchange Compensation to the Civil Service and the claims put forward by the Colonial Treasurer on behalf of.
page 3	FRANCE AND MADAGASCAR.
page 3	ITALY.
page 3	FINANCIAL DIFFICULTIES IN NEWFOUNDLAND.
page 3	ITALIAN FINANCES. -- ENORMOUS DEFICIT.
page 3	THE CHINA-JAPAN WAR.
page 3	OFFICIAL INQUIRY INTO THE EXCESSES AT PORT ARTHUR.
page 3	FOREIGN CORRESPONDENTS RETURNING TO THE FRONT.
page 3	CHINESE RETURNING TO PORT ARTHUR, AND ARE PROTECTED AND FED BY THE JAPANESE.
page 3	THE CHINESE RETREAT TOWARDS NEWCHWANG.
page 3	JAPANESE CRUISER IN THE LIAOTUNG GULF.
page 3	LI CHUNG-CHANG'S SON-IN-LAW IN TROUBLE.
page 3	JAPANESE TROOPS NEAR NEWCHWANG.
page 3	LI HUNG-CHANG'S NEPHEW ARRESTED.
page 3	MORE MONGOL WARRIORS.
page 3	THE INVASION OF NEWCHWANG.
page 3	AN ALARMING REPORT.
page 3	TIENTSIN.
page 3	REPORTS ABOUT THE JAPANESE LANDING.
page 3	NEWS FROM PORT ARTHUR.
page 3	JAPANESE IN SHINGKING.
page 3	ARRIVAL OF THE CHINGHAI.
page 3	BUSINESS.
page 3	A NATURAL IMPEDIMENT.
page 3	A WELCOME TO THE COMMISSIONER.
page 3	THE JARS ARE COMING.
page 3	SNOW.
page 3	A PATHETIC SCENE!
page 3	THE RESULT OF THE MISSION.
page 3	TROOPS AT SHANHAIKWAN.
page 3	MR VON HANNEKEN'S POLICY.
page 3	SIGNFICANT INTERRUPTIONS.
