page 2	Informal private parties gathered residents at free and easy year-end vigils in lies of the time-honoured annual ball at Government House and the New Year was cordially hailed at the stroke of midnight.
page 3	PRIZE DISTR BUTION AT ST SPEPHEN'S GIRL'S SCHOOL.
page 4	SWISS CHURCH DISASTER.
page 4	THIRTY-ONE KILLED BY FALL OF ROOF.
page 4	AFTER THE EARTHQUAKE.
page 4	ITALIAN CHAMBER ADOPTS RELIEF BILL.
page 4	ROOSEVELT'S GROWING UNPOPULARITY.
page 4	HIS NOMINEES TO BE RIGIDLY SCRUTINISED.
page 4	THE PRESIDENT AND SENATOR TILLMAN.
page 4	AMERICA AND CHINA.
page 4	AN UNSUCCESSFUL MISSION.
page 5	FRENCH MAIL BOAT IN COLLISION.
page 5	DUTCH STEAMER SUNK AT SINGAPORE.
page 5	SHANGHAI EDITOR RELEASED FROM PRISON.
page 5	THE WHANGPOO CONSERVANCY.
page 5	ALLEGED CHINESE DEPARTMENT ABUSES.
page 5	CHINA'S MINISTER TO GERMANY.
page 5	YUAN SHIN-KAI'S DISMISSAL.
page 5	ANOTHER MEMORIAL.
page 5	PRIZE DISTRIBUTION AT ST STEPHEN'S GIRL'S SCHOOL.
page 5	AN OBSERVATORY FOR CANTON.
page 5	BRITAIN AND JAPAN.
page 6	MISSION OF THE FLY.
page 6	BUDGET PROSPECTS AT HOME.
page 6	GERMANY AND THE FAR EAST.
