page 2	THE establishment of Germany at Kiaochau, and the despatch of a garrison of 4500 men, has an important bearing on the position of the British Colonies in the Far East.
page 3	ADMIRAL BULLER'S SUCCESSOR.
page 3	RUSSIA AND GERMANY IN CHINA.
page 3	HONGKONG AND THE VENIGE PLAGUE CONVENTION.
page 3	THE NEW COLONIAL ENGINEER AT SINGAPORE.
page 3	EXTRAORDINARY CHARGE AGAINST A CHINESE CONSTABLE.
page 3	WHAT IS A BAKE-HOUSE?
page 3	THE NEW VICEROY OF INDIA.
page 3	DETAINED IN THE THAMES.
page 3	TURKEY AND THE WAR INDEMNITY.
page 3	THE 'BREACH OF FAITH' QUESTION.
page 3	THE EGYPTIAN SITUATION.
page 3	MORE BRITISH OFFICERS FOR UGANDA.
page 3	AN INDIAN RULER DECORATED AT WINDSOR.
page 3	FATAL ACCIDENT AT CALCUITA.
page 3	THE INDIAN FAMINE FUND AND THE CONTINUENCY CHARGES.
page 3	THE FLAGUE IN INDIA.
page 3	THE GALES I ENGLAND.
page 3	GALLANTRY IN THE FRONTIER WAR.
page 3	FRONTIER OPERATIONS IN INDIA.
page 3	MORE CASUALTIES AMONGST BRITISH OFFICERS.
page 3	HEAVY FIGHTING AT THABI.
