page 2	Some time ago, Senators Allison and Sherman were made the recipients of cable messages from three prominent English Members of Parliament expressing satisfaction with a resolution.
page 3	THE CHINA-JAPAN WAR.
page 3	INDISPOSITION OF THE OZAR OF RUSSIA.
page 3	ADMIRAL LANG'S OPINION.
page 3	AN AUSTRALIAN OPINION.
page 3	TEMPESTUOUS VOYAGE OF H.M.S. 'KATOOMBA'-SEAMAN LOST OVERBOARD.
page 3	THE COOLGARDIE GOLD-FIELD-STONE STVDDED WITH GOLD.
page 3	THE CONTROL OF SAMOA.
page 3	DEPRESSION IN REAL ESTATE IN MELDOURNE.
page 3	BEOLUSION OF DESTITUTE ALLENS FROM ENGLAND.
page 3	PRODUCTION OF BEET SUGAR.
page 3	THE FACHT 'VALKYRIE' BE-FLOATED.
page 3	HARR DOWE'S CUTRASS PIESCED BY A BIFLE-SHOT.
page 3	AFFAIRS IN BULGARIA.
page 3	TWO MILLION POUNDS SUBSORIBED IN HALP-AN-HOUR.
page 3	DIVORCR SUITS.
page 3	THE UNITED STATES TARIFF-SENSATIONAL SPEECH.
page 3	LORD BRASSRY.
page 3	TRAINS SNOWED UP IN AUSTRALIA.
page 3	ANOTHER BLOW AT HOME INDUSTRIES.
page 3	THE ANNEXATION OF NECKAB ISLAND.
page 3	THE ANARCHISTS.
page 3	THE THUNDEMER CONGRATULATES AUSTRALIA.
page 3	GERMANY AND FRANCE.
page 3	IS IT A NEW WEAPON.
page 3	QUEENSLAND TARITFS.
page 3	THE 'FAILS OF EITEICE'.
page 3	SPORT ON THE PAMTRS.
