page 2	A COOLIE who went to get a drink of water at a tap in the public gardens on Saturday and did not take the trouble to turn the water off when he had finished was fined.
page 3	THE CHINA-JAPAN WAR.
page 3	RUMOURED MURDER OF A COMMISSIONED OF CUSTOMS.
page 3	THE REPORTED ATTACK ON PORT ARTHUR.
page 3	REBELLION IN SHANTUNG.
page 3	PRISONERS ALLEGED TO HAVE BERN KILLED.
page 3	A DISABLED JAPANESE GUNBOAT.
page 3	BUSSIAN TROOPS IN COREA.
page 3	JAPANESE LOOKING FORWARD.
page 3	REPORTED DEFEAT OF JAPANESE.
page 3	JAPANESE PLACED UNDER CHINESE JURISDICTION.
page 3	THE WAR IN COREA.
page 3	IMPORTANT SCIENTIFIC DISCOVERY.
page 3	CANNIBALISM IN FIJI.
page 3	AUSTRALISIAN SHIPPING COMPANIES.
page 3	ANTARCTIC EXPLORATION.
page 3	THE ENGLISH CRICKET TEAM.
page 3	ANGLO-FRENCH COLLISION IN WEST AFRICA.
page 3	THE ANARCHISTS.
page 3	THE FATE OF THE EVICTED TENANTS BILL.
page 3	ONE SIDED ARBITRATION.
page 3	A PARLIAMENTARY ELECTION.
page 3	A NAVAL APPOINTMENT.
page 3	SENSATIONAL GOLD DISCOVERY.
page 3	BRITAIN AND JAPAN.
page 3	SUMMARY OF THE REVISED TREATY.
