page 2	THE New York Herald of the 13th Apricontains regarding the renewed rebelliun in the Philippine Is Iands, giving a chart of Islands nad a porlrair of General Emilio Aguinaldo.
page 3	AN INTERVIEW WITH THE SPANISH ADMIRAL.
page 3	DESCRIPTION OF THE FIGHT FROM THE SPANISH FLAGSHIP.
page 3	A GALLANT DEFENSE.
page 3	COMMODORE DEWEY'S HUMANE CONDUCT.
page 3	THE AMERICAN COMMODORE CONGRATULATES THE SPANISH ADMIRAL.
page 3	CATER OF MILES.
page 3	ARREST OF A BRITISH CAPTAIN.
page 3	DEFECTIVE IRONCLAD.
page 3	AUSTRALIAN VOLUNTEERS.
page 3	THE LIKIN QUESTION.
page 3	THE AMERICAN-SPANISH WAR.
page 3	THE NEW LIKIN ARRANGEMENTS.
page 3	SERIOUS RIOT AT SHISH.
page 3	THE POWERS AND TURKEY.
page 3	RUSSIANS IN ASIA.
page 3	GERMANY AND SAMOA.
page 3	THE FRANCO-RUSSIAN ALLIANCE.
