page 2	TODAY, the British, Austrian and Japanese warships in the Harbour were profusely decorated with bunting in honour of the birthday of the Emperor of Japan.
page 3	NEWS BY THE AUSTRALLAN MIAL.
page 3	SIR George GREY-LETTER FROM SIR H. B. LOCH.
page 3	THE GOVERNORSHIP OF TASMANIA.
page 3	THE CURRENCY IN INDIA.
page 3	BANK FRAUDS.
page 3	THE LONDON COUNTY COUNCIL AND THE CONTRACTORS.
page 3	THE SUEZ CANAL DUES.
page 3	THE NEXT AUSTRALIAN ELEVEN.
page 3	THE LATE DUKE OF SUTHERLAND 
page 3	THE LIBERATOR BUILDING SOCIETY.
page 3	THE STATE ELECTIONS IN AMERICA.
page 3	GOLD IND IN WEST AUSTRALIA.
page 3	TIN IN TASMANIA.
page 3	WRECK NEAR NEW CALIDONIA.
page 3	THE SEIZURES OF BRITISH SEALERS. 
