page 2	THE information we publish to-day from our Foochow Correspondent regarding the Kucheng Massacre Commission is ominous of trouble for China, for it ought to convince the British Government.
page 3	HEAVY GOLD SHIPMENTS FROM NEW YORK.
page 3	THE RACE FOR THE AMERICA CUP.
page 3	ANOTHER SNUB TO LI HUNG CHANG.
page 3	THE JUTE WORKERS' WORKERS' STRIKE.
page 3	THE CHITRAL QUESTION.
page 3	THE COTTON DUTIES.
page 3	THE KUCHENG MASSACRE.
page 3	THE DODGES OF CHINESE OFFICIALDOM.
page 3	FRUSTRATING THE OBJECT OF THE COMMISSION.
page 3	A DISCREDITABLE PROPOSAL.
page 3	THE BRITISH MINISTER THREATENS.
page 3	THE MAHOMMEDAN REBELLION.
