page 2	INTELLIGENCE was received here some time ago of Russia's demand for the dismissal of the British Officials in the Chinese railway service and of the German military instructors; but the conditions under which this demand was made has not yet been given in detail.
page 3	GREAT BRITAIN, CHINA AND THE POWERS.
page 3	DISASTER IN ONTARIO.
page 3	PARADOXICAL.
page 3	A MISSIONARY DISTURBANCE IN CENTRAL CHINA.
page 3	NO AID WAS RENDERED.
page 3	LATER NEWS OF THE RIOT.
page 3	NOTES FROM TIENTSIN.
page 3	THE ALLEGED ANNEXATION OF HAINAN.
page 3	THE JAPANESE AND AUSTRALIAN LEGISLATION.
page 3	THE SLCOND TEST MATCH.
page 3	THE MANCHURIAN RAILWAY.
page 3	TERRIBLE GALES ON THE PAIFIC.
