page 2	IT can scarcely be saial that the Bennertz case has been settled with credit to British officaldom, and we hope for the sake of British prestige in the Far East, a prestige that has been badly damaged of late years.
page 3	THE SPANISH-AMERICAN WAR.
page 3	THE WESLEY PICNIC.
page 3	SUNDAY LABOR IN HONGKONG HARBOR.
page 3	A PROTEST BY THE MISSIONS TO SEAMEN.
page 3	THE CURRENCY QUESTION.
page 3	ENGAGEMENT OF LADY E. BRUCE.
page 3	AWARDS FOR PLAGUE SERVICE.
page 3	DISMISSAL OF AN INDIAN JUDGE.
page 3	INDIAN ARMY NEWS.
page 3	THE PLAGUE.
