page 2	If ever there was a strong desire felt for direct telegraphic communication between Europe and China Mr. Burlingame mustat this moment experience it to its fullest extent.
page 3	LOCAL.
page 3	SUPREME COURT.
page 3	CRIMINAL SESSIONS.
page 3	THE SOWKEWAN MURDER.
page 3	REUTER'S LATE TELEGRAMS.
page 3	DOMESTIC.
page 3	THE PRINCE OF WALES AND THE HARVARD CREW.
page 3	EUROPEAN AND ALBERT INSURANCE COMPANIES.
page 3	AMERICA.
page 3	EHANCE.
page 3	SPAIN.
page 3	GERMANY.
page 3	TURKEY.
page 3	EGYPT.
page 3	NEWS OF LIVINGSTIONE.
page 3	THE DURBAR ABANDONED.
page 3	COLLISION AT SEA.
page 3	THE HARVARD-OXFORD BOAT RACE.
page 3	SUCCESS.
