page 2	WE must congratulate Mr Cooper, Sanitary Surveyor, on the victory which he gained in the Police Court on Tuesday over Mr Cooper, Acting Assistant Surveyor General, a victory which was all the more remarkable.
page 3	DISTURBANCE AT WANCHAI.
page 3	SEOUL.
page 3	LATE NEWS.
page 3	THE TENANTS' DEFENCE LEAGUE.
page 3	THE POPE OFFERED AN ASYLUM IN FRANCE.
page 3	VOTE FOR IBISH RAILWAYS.
page 3	SIR JULIAN PAUNCEFOTE'S RETURN.
page 3	THE BEHRING'S SEA MATTER.
page 3	PROFITARLE SLOGGING.
page 3	MR. GLADSTONE'S GOLDEN WEDDING.
page 3	THE PARNELL COMMISSION.
page 3	STONED BY A MOB.
page 3	A DAAISH SENSATION.
page 3	CORRUTTION IN GERMANV.
page 3	KING MILAN GIVES ASSURANCES.
page 3	GERMAN ITEMS.
page 3	THE ROVAL GRANTS.
page 3	A REPUBLICAN.
page 3	MR. MACDONALD STILL MANAGER OF THE 'TIMES.'
page 3	MISOELLANEOUS.
