page 2	IT almost seems as though l reyfus will have to be saoriftced, and like cilas and Losuiques, have his innocence acknow-lodged, his rehabilitation effected posthumously. All thinking men, as opposed to.
page 3	A Deserter.
page 3	The Star Ferry.
page 3	Filipinos seeking American Protectien.
page 3	The Sad Death of a Midshipman.
page 3	Notes by the Way.
page 3	Infectious Disease.
page 3	Alteration of Sailing.
page 3	The Plague.
page 3	The Loss of the 'White Cloud.'
page 3	Larceny from a Bedroom.
page 3	THE DREYFUS SENTENCE.
page 3	THE TRANSVAAL TROUBLE.
page 5	Death of General Le Gendre.
page 5	A Coneesion at Chefoo.
page 5	Movements of the British Squadron.
page 5	The Russian Dockyard at Port Arthur.
page 5	Foars of a Soamen's Strike.
page 5	The Transvaal Crisis.
page 5	United Gtasos and Cuba.
page 5	Great Britain, Japan and Russia.
