page 2	ALTHOUGH numerous rumours have come to hand to the effect that the Chinese stronghold of Weihaiwei has been captured by the Japanese, nothing which can be accepted as trust worthy.
page 3	THE ITALIAN EMBASSIES.
page 3	THE NEW FRENCH CABINET.
page 3	THE LATE MARSHAL CANROBERT.
page 3	THE CHINA-JAPAN WAR.
page 3	NEWS FROM WEI-HAI-WEI.
page 3	THE BOMBARDMENT OF TENGCHOWFUL.
page 3	CHINESE REINFORCEMENTS FOR FORMOSA.
page 3	THE ATTACK ON TENGCHOW.
page 3	THE SECOND ATTACK.
page 3	THE REV. J. P. IRWIN'S ACCOUNT.
page 3	THE ATTACK ON WEIHAIWEI.
page 3	THE JAPANESE FLEET IN ACTION.
page 3	THE THBEAT TO PUNISH ADMIRAL TING.
page 3	THE DEFENCES OF SHANGHAI.
