page 2	THERE were several matters of considerable public interest discussed at the last meeting of the Legislative Council. The first in importance was the new ballroom for Government House, which, it was announced.
page 3	TELEGRAMS.
page 3	THE PRESS LAW IN FRANCE.
page 3	THE FRENCH BUDGET FOR 1891.
page 3	THE DUKE OF CONNAUGHT'S VISIT.
page 3	ANOTHER PUBLIC MEETING.
page 3	THE SANITARY BOARD.
page 3	AN INSPECTOR FOR KOWLOON.
page 3	THE DRAINAGE OF BANK BUILDINGS GERMAN CLUB, ETC.
page 3	THE BILL FOR THE DESTRUCTION O FCATTLE.
page 3	RURAL BUILDING LOT NO. 7.
page 3	A SHORT DIVERSION.
page 3	WHITFEILD AND CAUSEWAY EAY.
page 3	PUBLIC LATRINES.
page 3	DRAINAGE OF THE HONGKONG HOTEL.
page 3	THE OR ENTAL BANK EMBEZZLE MENT CASE.
page 3	SUPREME COURT.
page 3	IN ORIGINAL JURISDICTION.
page 3	A DISGRACEFUL SHAREDEALING CONSPIRACY.
page 3	BRANDT U. WONG LAT SHING.
page 3	FRANCE'S EFFORT TO SECURE THE TRADE OF SOUTH CHINA.
