page 2	THE Bill entitled 'The Chinese Fugitive Criminals Extradition Ordinance 1888,' introduced into the Council the other day and published in the Gazette of the 12th May has we presume been introduced under instructions from Home.
page 3	THE INDEAN MAILS FOR CHINA.
page 3	NITES FROM NATIVE PAPERS.
page 3	PROGRESS IN FORMOSA.
page 3	Peking.
page 3	LATE NEWS.
page 3	THE QUEEN IN BERLIN.
page 3	GLADSTONE'S FAITH HR PURLISRES A VIGOROUS DRFENOE OF URTHODOXY.
page 3	SUICIDE OF A PRIMA DONNA.
page 3	A SIGNIFICANT ELECTION.
page 3	AN ANTI JEWISH MOVEMENT.
page 3	THE HUNGARIAN ARMY BILL.
page 3	THE TSOUBLE IN BCUMANIA.
page 3	THE POPE AND IRBLAND.
