page 2	WE doubt very much if the interport Cricket match at Shanghai has yet come off. By latest advices the cricket field was in a condition which would probaby render a match impossible for some days.
page 3	THE KOWLOON OBSERVATLORY.
page 3	THE TYPHOON SIGNALS.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	BRANDT V. BAMCEL BROKERS AND THEIR FERS.
page 3	MR HENNIKER HEATON AND THE POST OFFICE.
page 3	PEKING HANKOW RAILWAY.
page 3	CENTRAL ASIA AND CHINA.
page 3	THE RIAMARCK OF CHINA.
page 4	THE CHINA REVIEW.
page 4	PUBLISHED BI-MONTHLY.
