page 6	AN Imperial Edict appears in the Peking Gazette of the 9th inst., reiterating the law against the cultivation of the poppy in the various provinces of the Empire. It states that the severity of the present famine in Shansi is due.
page 7	China.
page 7	SHANTUNG.
page 7	PEKING.
page 7	THE STEAMER RACE TO TAKU.
page 7	TURKISH Versus MUSCOVITE LIBERALISM.
page 7	OLEOGRAPHS AND PICTURES.
page 7	MONTENEGRIN MARCHING.
page 7	Miscellaneous.
page 8	STANLEY'S TRAVELS.
page 8	TEH RAGE OF THE WATERS.
page 8	THE CANNIEALS.
page 8	Miscellaneous.
