page 4	HONGKONG'S BUDGET.
page 5	BLUEJACKTS LANDED AT PIRAEUS.
page 5	PRINCE GEORGE OF GREECE.
page 5	PROLONGED INTERVIEW WITH VISCOUNT GREY.
page 5	RECRUTING IN IRELAND.
page 5	THE FIGURES FOR SIX MONTHS.
page 5	DEATH SENTENCES ON PRISONERS OF WAR.
page 5	REWARDS FOR SOLDIERS AND SAILORS.
page 5	STEAMER SUNK.
page 5	BRITISH OPERATIONS.
page 5	HEAVY ENEMY LOSSES.
page 5	THE FRENCH FRONT.
page 5	THE FIGHTING IN TRANSYLYANIA.
page 5	RUMANIAN SUCCESS.
page 5	IRELAND AND THE ARMY.
page 5	APPEAL BY MAJOR WILLIAM REDMOND, M.P. 
page 5	ATLANIC MARINE INSKURANCE RATES.
page 5	REDUCED AGAIN.
page 5	KING CONSTANTINE AND HIS SAILORS.
page 5	AN ORDER OF THE DAY.
page 5	SUMATRA REBELLION.
page 5	ATTACK BY THE REBELS.
page 5	ENDING ENEMY FIRMS.
page 5	812 BUSINESSES WOUND UP UNDER THE DEFENSE ACT.
