page 2	It seeins useless to deal editorially with the political siruation in the Far East.Before the ink is dry news reaches us from Peking or Europe of nome change in the game of political chess, completely ltering.
page 3	DREUTER'S TELEGRAMS.
page 3	FIGHTING IN THE SOUDAN.
page 3	FRANCE AND CHINA.
page 3	THE BROUGH COMEDY COMPANY.
page 3	A SUGGESTION.
page 3	VIOTORIA ENGLISH SCHOOLS.
page 3	ANNUAL PRESENTATION OF PRIZES.
page 3	NOTES BY THE WAY.
page 3	SELEOTION OF CHINESE AIRS.
page 3	MR BENTLEY'S LATEST COMPOSITION.
page 3	THE DEPORTATION OF AN ENG-LISH EDITOR FROM-SIAM.
