page 2	YESTERDAY Inspectors Hennessy, Mackie, and Hanson made a combined raid upon two large establishments dealing in manila lottery tickets.
page 3	THE LEGISLATIVE COUNCIL.
page 3	THE WATER SUPPLY.
page 3	PROFRIETARY IN TELEGRAMS.
page 3	SPEECH BY HIS EXCELLENCY.
page 3	FINANCIAL STATEMENT.
page 3	NEW TAXATION.
page 3	RESUMPTION OF TAIPINGSHIN.
page 3	NEW WATER SUPPLY.
page 3	THE FUTURE SANITARY BOARD.
page 3	THE WAR.
page 3	LI HUNG CHANG DEPRIVED OF HIS TITLES.
page 3	GENERAL NIEH SU CHENG PROMOTED.
page 3	ADMIRAL M'CLURE.
page 3	THE SYDNEY SUSPECTS.
page 3	JAPAN'S MASTERFUL SPIRIT.
page 3	JAPANESE PROSPECTS IN MANCHURIA.
page 3	THE EFFECTS OF INVASION.
page 3	PANIC HAD NOW COME.
page 3	DESERTION AND PLUNDERING.
page 3	HARDEST WOEK IS YET TO COME.
page 3	THE TROUBLE BEGINS.
page 3	A REGULAR PANIO.
page 3	WHY WE IEFT.
page 3	A ANIC AND A STAMPEDE.
page 3	GOVERNOR-GENEEAL YU.
page 3	OUR CHAPELS WERE SHUT.
page 3	THE ANTI-FOREIGN SPIRIT.
page 3	ANXIEIT IN HIGH STATIONS.
