page 2	IN another column we publish a contribution on the sate of Tonkin. The writer is reliable, and the facts he sets forth may be accepted without reservation. From his statement it will be gathered that the recent attack on the gathered that the recent attack.
page 3	HAINAN NOTES.
page 3	NEW YEAR HOLIDAYS.
page 3	THE REVOLT IN SOUTHEFIN BAINAN.
page 3	CONCERT.
page 3	THE FRENCH ND HAINAN.
page 3	FRENCH RULE IN TONKIN.
page 3	DISCONTENT AMONG THE NATIVE HAOCES.
page 3	CRETE-RUSSIA AND THE EUROPEAN CONCERT.
page 3	THE ADVANCE OF THE NILE.
page 3	PORT ARTHUR.
page 3	BRITISH TRADE.
page 3	SERVIAN AFFAIRS.
page 3	MORE INDIAN HONOURS.
page 3	THE MONEY MARERT.
page 3	PENSIONS AND GRATUITIES.
