page 2	A CORRESPONSENT has written to us, pointing out that the Widows, and Orphans' Pension Ordinauco does not apply to the Police He says the folice are apecifically and purposely excluded from it' This is not quite correct.
page 3	TELEGRAMS.
page 3	SUPPLIED TO THE CHINA MAIL.
page 3	GERMANY.
page 3	ENGLAND AND THE UNITED STATES.
page 3	IRELAND.
page 3	FRANCE.
page 3	HONGKONG ARTILLERY VOLUNTEERS.
page 3	ABOUT CHITS.
page 3	BY A PENANG LADY GRIFFIN.
page 3	GREAT BRITAIN & PORTUGAL.
page 3	INTERVIEW WITH THE PRTUGURSE FOREIGN MINISTER.
page 3	HER CHARMS.
page 3	LATE TELEGRAMS.
page 3	CONTEMPLATED ABDICATION OF THE KING OF GREECE.
page 3	THE RELATION OF SERVIA WITH AUSTRIA..
