page 2	THE wife of one of the Chinese who aided Sun Yet Sin in the abortive rebellion at Canton in October 1895, has been the cause of a little disturbance in the family house of a Chinese merchant in Pottinger Street. The facts were brought out in a.
page 3	FRANCE.
page 3	GREAT BRITAIN AND RUSSIA IN CHINA.
page 3	MORE FRENCH NAVAL RE-INFORCEMENTS FOR CHINA.
page 3	BOMBAY MILLOWNERS AND THE CHINA TRADE.
page 3	HONGKONG U.S. CONSULAR REPORT.
page 3	NEWS FROM PORT ARTHUR.
page 3	FESTIVITIES.
page 3	THREE BUSIAN SAILORS.
page 3	SPORT.
page 3	THE DRY DOCK.
page 3	NO SIGNS OF RUSSIAN SOLDIELS.
page 3	STILL WITHOUT LIGHTS.
page 3	NO HARDOUR-MASTER.
page 3	SHORT OF COAL.
page 3	THE NAVAL GUNNERY SCHOOL.
page 3	A SMIALL LIGHT.
page 3	DESOLATION.
page 3	THE MISSIONARIES.
page 3	EDUCATION.
page 3	THE N. W. PRONTIER.
page 3	THE RELIEFS.
page 3	THE INDIA COUNCIL.
page 3	ARMY NEWS.
page 3	THE STRAITS AND THE GOLD CURRENCY.
page 3	THE BANKS DIVIDED ON THE QUESTION.
