page 2	THERE was a what indierous exhibition of offical bumptioueness in the Singapore Legislative Council during a recent.
page 3	SERIOUS RUSSIAN FAILURE.
page 3	MINISTERIAL CHANGES IN JAPAN.
page 3	THE SAN TARY BOARD.
page 3	THE CONTROL OF THE PUBLIC LAUNDRIES.
page 3	PETITIONS FROM CONTRACTORS.
page 3	CHANGE OF MEETING PLACE.
page 3	THE STATE OF THE HONGKONG BAKERIES.
page 3	THE LATE MR. WAINEWRIGHT SHANGHAI.
page 3	A LIVELY NIGHT IN A CHINESE VILLAGE.
page 3	THE GROWING IMPORTANCE OF JAPAN.
