page 4	THE SITUATION AT CANTON.
page 5	BATTLES ON RUSSIAN FRONT.
page 5	RUSSIANS TAKE 5,000 PRISONERS NEAR HALICZ.
page 5	RUSSIA'S NEW PUSH.
page 5	THE BALKAN ZONE.
page 5	THE BRITISH BAYONET CHARGE.
page 5	BULGARIANS COMPLETELY ROUTED.
page 5	FURTHER SERBIAN SUCCESSES.
page 5	HEAVY FIGHTING IN DOBRUDJA.
page 5	RUMANIANS ATTACKING ALONG THE WHOLE FRONT.
page 5	THE BRITSH IMPERIAL AIRCRIFT FLOTILLA.
page 5	THE REFERENDUM IN AUSTRALIA.
page 5	THE INSURRECTION IN NETHER LANDS INDIES.
page 5	THE WESTERN FROT.
page 5	THE SOMME REGION.
page 5	A QUIET NIGHT.
page 5	RAID BY BRITISH NAYAL AEROPLANES.
page 5	AIRSHEDS ATTACKED NEAR BRUSSELS.
page 5	A BRILLIANT BRITISH ENTERPRISE.
page 5	A GREAT BAYONET ATTACK.
page 5	A CAPTURED BAYARIAN ORDER.
page 5	A REVELATION OF WEAKENED MORALE.
page 5	CROCODILE TEARS.
page 5	SHED BY THE GERMAN GROWN PRINCE.
page 5	ALLIES' REQUEST TO NEUTRALS.
page 5	PREVENT SUBMARINES USING NEUTRAL WATERS.
page 5	THE REYENUE OF THE UNITED KINGDOM.
page 5	A BIG INCREASE.
page 5	THE ZEPPELIN RAID.
page 5	GERMAN VERSION OF THE RAID.
page 5	THE SOMME FRONT.
page 5	SEVERE FIGHTING BY BRITISH.
page 5	THE FRENCH FRONT.
page 5	GENERAL JOFFRE WELL SATISFIED.
page 5	THE BALKAN ZONE.
page 5	HAVOC IN BULGARIAN RANKS.
page 5	RUMANIANS CROSS DANUSE.
page 5	"A MOST DRAMATIC STOKE".
page 5	HOIHOW NOTES.
page 5	WAITING FOR EUNG CHAI KWONG.
page 5	POLITCAL EXCITEMENT ACROSS THE STBATT.
page 5	YOUNG TIGERS CAPTURED.
page 5	DEPARTURE OF THE FRENCH CONSUL.
page 5	CHANGES IN THE MISSIONARY COMMUNITY.
