page 2	IN view of the determined set made by the literati ( or rowdies, which is the same thing) of North China against all classes of Foreign Missions, the question arises, When is Great Britain.
page 3	THE CRISIS IN FORMOSA.
page 3	THE SITUATION IN FORMOSA.
page 3	THE BLACK FLAG GENERAL AND BRITISH MARINES.
page 3	TURKEY AND THE ARMENIAN REFORMS.
page 3	THE FRENCH IN MADAGASCAR.
page 3	OPENING OF THE KIEL CANAL.
page 3	RUSSIA AND FRANCE.
page 3	THE CAPTAIN GENERAL OF MADRID.
page 3	THE CUBAN REVOLT.
page 3	THE GERMANS IN THE CAMEROONS.
