page 2	IT would seem that the effect of the Battle of Manila Bay has been to unbinge much that was formerly fair well swung. On the Pacific Slope the excitement has been as was natural.
page 3	THE SPANISH-AMERICAN WAR.
page 3	RIOTS IN BELFAST.
page 3	LARGE SEIZURE OF ARMS AND AMMUNITION.
page 3	HALF A MILLION ROUNDS OF AMMUNITION.
page 3	THE GIBRALTAR OF THE EAST.
page 3	YE CHRONICLES OF YE CITY BY THE SEA.
page 3	EXPLAINING AWAY THE MANILA DEFEAT.
page 3	TRADE OF THE PHILIPPINES WITH THE UNITED STATES.
page 3	THE U.S. REINFORCEMENTS FOR MANILA.
page 3	JAPAN'S NEW BATTLESHIPS.
page 3	PRINCE HENRY OF PRUSSIA.
page 3	HE LIKES TH ENGLISH.
page 3	BRITISH TRADE WITH CHINA.
page 3	NARROW MAJORITY FOR THE FRENCH PREMIER.
page 3	THE INDIAN CURRENCY.
page 3	THE PLAGUE IN BOMBAY.
page 3	CANADA AND THE STATES.
page 3	INDIAN CRICKET.
page 3	THE NORTH-WEST FRONTIER.
