page 2	THE Republic of Formosa has had a short and most inglorious career. No one supposed for a moment that the Chinese forces on the island would be able to maintain a prolonged resistance.
page 3	TURKEY AND THE JEDDAH OUTRAGE.
page 3	REPORTED EXTENSION OF THE RUSSIAN TRANS-CASPIAN RAILWAY.
page 3	THE FRENCH PRESIDENT.
page 3	THE LATE M. CARNOT.
page 3	THE JEDDAH AFFAIR.
page 3	THE CRISIS IN FORMOSA.
page 3	THE CESSION OF THE ISLAND.
page 3	FORMAL CEREMONY AT SEA.
page 3	COLLAPSE OF THE FORMOSAN REPUBLIC.
page 3	SOLDIERS AND NATIVES LOOTING.
page 3	GOVERNMENT BUILDINGS BURNED DOWN.
page 3	ESCAPE OF PRESIDENT TANG.
page 3	SAFETY OF FOREIGNERS.
page 3	NEWS FROM SHANGHAI.
page 3	TELEGRAMS TO FORMOSA.
