page 2	It will be seen from Reuter's telegram whieh we publish to-dqy, that Mr George Carzon has stated in the House of Commons that the defences of Hongkong have been under the consideration of the Go.
page 3	SUPREME COURT.
page 3	IN ADMIRALTY JURISDICTION.
page 3	TEMPERANCE IN THE ARMY.
page 3	THE INGREASE IN THE PRICE OF RICE.
page 3	THE NORTH RIVER.
page 3	'THE EXPECTANT HESBAND.'
page 3	A ROUGR MARKET PLICE.
page 3	ANGTHER TIGER REGION.
page 3	A RICH DISTRICT.
page 3	REVIEW.
page 3	DR SHEFFIELD'S CHINESE TYTEWRITER.
page 3	LATE TELEGRAMS.
page 3	A BRITISH OFFICER FOR THE CHINESE ARMY.
page 3	RUSSIA AND CHINA.
page 3	DPRINOE OF WALES.
page 3	LONDON MONEY-LENDING CASE.
page 3	THE INDIAN FRONTIER.
page 3	ACCIDENT TO LORD SALISBURY.
page 3	GERMAN HYDRAULIC MATERIAL FOR ENGLAND.
page 3	MISCELLANEOUS.
page 5	FRENCH POLIOY IN CHINA.
page 5	ROUND THE WORED IN TWENTY-EIGHT DAYS.
page 5	GREAT BRITAIN AND CHINA.
page 5	TO THE DEAF!
page 5	BRITISH POLICY IN CHINA.
page 5	BLACKMAILING A CABINET MINISTER.
page 5	HAIR PRESERVED AND BEAUTIFIED.
page 5	Hongkong Tides.
