page 2	THE crowning proof of Sir George Bowen's unfitness to bour much longer the burden of Government - we refer to the uncounditional release of Lee Lum Kwai - formed the subject of a Minute presented before the Legislative Council yesterday.
page 3	RUSSIA AND AFGHANISTAN.
page 3	THE POSITION OF TURKEY.
page 3	PRECAUTIONS AT PORT PHILLIP (MELBOURNE.)
page 3	THE RUSSIAN AND ENGLISH FLEETS.
page 3	'HONGKONG LODGE' OF GOOD TEMPLARS.
page 3	OUR POET'S VIEW OF THE SITUATION.
page 3	THE FIGHT AT PANJDEH.
page 3	RUSSIA AND ENGLAND.
page 3	ARMAMENT OF THE FORTS AT HONGKONG.
page 3	FEES CHARGED FOR ISSUING BILLS OF HEALTH.
page 3	ENCLOSURE.
page 3	THE REVENUE AND EXPENDITURE OF HONGKONG FOR 1884.
page 3	RECEIFTS.
page 4	THE CHINESE CHEK, OR 'FOOT.'
