page 2	THE report of yesterday's Council meeting is very stage reading. His Excellency monopolised the talking, and he seemed throughout to be in the position of a man who was defending a course of position of.
page 3	GENERAL CAMERON'S DEPARTURE.
page 3	PRESENTATION OF AN ADDRESS.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	THE CHINA BORNEO COMPANY.
page 3	EMIGRATION AND THE KWANGPAO.
page 3	HONGKONG AS A COALING STATION.
page 3	EDUCATION IN HONGKONG.
page 3	EDUCATION STATISTICS.
page 3	THE COST.
page 3	THE NATURE OF THE EDUCATION.
page 3	PROTUGUESE SCHOOLS.
page 4	THE GOVERNMENT CENTRAL SCHOOL.
page 4	ANGLO-CHINESE SCHOOLS.
page 4	PROGRESS IN THE CHINESE SCHOOLS.
page 4	THE GRANT-IN-AND SCHOOLS.
page 4	NEEDLE-WORK.
