page 2	THE telegrams now in town certainly indicate a most critical state of affairs in Europe. It is not very easy to divine what the British Fleet intends doing when it arrives at Constantinople.
page 3	REUTER'S TELEGRAMS.
page 3	THE WAR.
page 3	LOCAL AND GENERAL.
page 3	HONGKONG AND WHAGMPOA DOCK COMPANY, LIMITED.
page 3	Police Intelligence.
page 3	A JILTED SWAIN.
page 3	LARCENY.
page 3	HAT SNATCHING.
page 3	DRUNKENNESS.
page 3	FROM THE COURSE.
page 3	ARRIVAL OF THE AMERICAN MAIL.
page 3	DIARY OF THE WAR.
page 3	COMMUNICATION WITH WESTERN AUSTRALIA.
