page 2	Two very important deliveranceshave been made this week---one by Mr. R M.Gray, from the chair of the Hongkong General Chamber of Commerce, and the meeting of.
page 3	DISASTROUS EXPLOSION IN THE UNITED STATES.
page 3	THE WAR --- GENERAL CARRINGTON'S PROGRESS.
page 3	THE ADVANCE IN THE FREE STATE.
page 3	CASUALTIES.
page 3	THE WAR.
page 3	THE RELIEF OF LADYSMITE.
page 3	EXPERIENCES OF A VOLUNTEER PRIVATE.
page 3	ESTCOURT.
page 3	THE SPIONKOP AFFAIR.
page 3	A SECOND ATTEMPT.
page 3	BACKING OUT.
