page 1	LOCAL OPTION WINS THE CHAMPION STAKES.
page 2	MANCHESTER GOODS.
page 2	JAPANESE COMPETITION FELT IN CHINA.
page 2	CHINESE BONDS.
page 2	COURSE OF PRICES IN 1924.
page 2	BRITISH TRADE.
page 2	HIGHEST YEAR' SFIGURES SINCE 1920.
page 2	MANCHESTER MARKET.
page 2	PHILIPPINE RICE.
page 2	DHCREASE IN PRODUCTION LAST YEAR.
page 3	DANCING.
page 3	ACCOMPLISHMENT TO BE ENCOURAGED.
page 3	HONGKONG BOOMING.
page 3	LOCAL MAN SPEAKS IN MANILA.
page 6	DAYLIGHT SAVING.
page 6	CANTON'S WARS.
page 6	INVASION THREATENED.
page 6	FROM WUCHOW.
page 6	YUNNAN ARMY COMING.
page 6	MOTOR MISHAPS.
page 6	RIKISHA UPSET BY A CAR.
page 6	FINES OF 12,720 DOLLARS.
page 6	KIANGSI SOLDIERS OUT OF LUCK.
page 6	MR. CHARLIE BOND LEADS POPULARITY CAMPAIGN.
page 6	Interest Inereasing.
page 6	Get the Subscriptions in Early.
page 6	ON BUSINESS.
page 6	SEATTLE VISITORS ARRIVE IN COLONY.
page 6	On Pleasure.
page 7	WIRELESS WONDERS.
page 7	NETWORK FOR THE WHOLE WORLD.
page 7	MARCONI COMPANY'S PROGRESS.
page 7	Empire Chain Scheme Within Sight.
page 7	GOING AHEAD.
page 7	TEA SALES.
page 7	THE OPEN MARKET IN DANGER!
page 7	WARSHIPS SCRAPPED.
page 7	WASHINGTON AGREEMENT HONGURED.
page 7	STILL NO CHANGE.
page 7	CHEFOO NOTES.
page 7	THE KING ILL.
page 7	LATEST OFFICIAL BULLETIN.
page 7	"SLIGHTLY BETTER."
page 7	DR. SUN YAT-SEN.
page 7	FRENCH FINANCE.
page 7	ANOTHER TREATY!
page 7	DOOR NOT CLOSED AGAINST RUSSIA.
page 7	SUGGESTIONS WILL BE CONSIDERED.
page 7	Stipulations Regarding Bolshevik Propaganda.
page 7	RUSSIA TO MOVE.
page 7	OFFICIAL DENIAL.
page 7	WARSAW ARRESTS.
page 7	SIR HARRY LAUDER.
page 7	FAREWELL APPEARANCES.
page 7	MR. AIREY LEAVES.
page 7	A TRIL TRIP.
page 7	"EMPRESS OF AUSTRALIA" RIGHT AGAIN.
page 7	ILL-LUCK SURMOUNTED.
page 8	WIRELESS WONDERS.
page 8	NETWORK FOR THE WHOLE WORLD.
page 8	MARCONI COMPANY'S PROGRESS.
page 8	Empire Chain Scheme Within Sight.
page 8	GOING AHEAD.
page 8	TEA SALES.
page 8	THE OPEN MARKET IN DANGER!
page 8	WARSHIPS SCRAPPED.
page 8	WASHINGTON AGREEMENT HONGURED.
page 8	STILL NO CHANGE.
page 8	CHEFOO NOTES.
page 8	THE KING ILL.
page 8	LATEST OFFICIAL BULLETIN.
page 8	"SLIGHTLY BETTER."
page 8	DR. SUN YAT-SEN.
page 8	FRENCH FINANCE.
page 8	ANOTHER TREATY!
page 8	DOOR NOT CLOSED AGAINST RUSSIA.
page 8	SUGGESTIONS WILL BE CONSIDERED.
page 8	Stipulations Regarding Bolshevik Propaganda.
page 8	RUSSIA TO MOVE.
page 8	OFFICIAL DENIAL.
page 8	WARSAW ARRESTS.
page 8	SIR HARRY LAUDER.
page 8	FAREWELL APPEARANCES.
page 8	MR. AIREY LEAVES.
page 8	A TRIL TRIP.
page 8	"EMPRESS OF AUSTRALIA" RIGHT AGAIN.
page 8	ILL-LUCK SURMOUNTED.
